sample,val
27.744511,5.865958
27.844311,6.017437
27.944112,6.184724
28.043912,6.370130
28.143713,6.576467
28.243513,6.807180
28.343313,7.066553
28.443114,7.359945
28.542914,7.694214
28.642715,8.078235
28.742515,8.523660
28.842315,9.046183
28.942116,9.667423
29.041916,10.417991
29.141717,11.342731
29.241517,12.510066
29.341317,14.029891
29.441118,16.090617
29.540918,19.044379
29.640719,23.634633
29.740519,31.748470
29.840319,49.990702
29.940120,128.997526
30.039920,186.961985
30.139721,51.526114
30.239521,28.938507
30.339321,19.625831
30.439122,14.535973
30.538922,11.322042
30.638723,9.103896
30.738523,7.477073
30.838323,6.229698
30.938124,5.239936
31.037924,4.432805
31.137725,3.759558
31.237525,3.187100
31.337325,2.692167
31.437126,2.257873
31.536926,1.871630
31.636727,1.523888
31.736527,1.207138
31.836327,0.915461
31.936128,0.644030
32.035928,0.388837
32.135729,0.146518
32.235529,0.085880
32.335329,0.310953
32.435130,0.531051
32.534930,0.748430
32.634731,0.965217
32.734531,1.183552
32.834331,1.405657
32.934132,1.633886
33.033932,1.870820
33.133733,2.119365
33.233533,2.382881
33.333333,2.665353
33.433134,2.971678
33.532934,3.307814
33.632735,3.681412
33.732535,4.102403
33.832335,4.583944
33.932136,5.144041
34.031936,5.807973
34.131737,6.612570
34.231537,7.613633
34.331337,8.900255
34.431138,10.623814
34.530938,13.064487
34.630739,16.805185
34.730539,23.292180
34.830339,37.374542
34.930140,91.609573
35.029940,215.546396
35.129741,50.114687
35.229541,28.516293
35.329341,19.994414
35.429142,15.426536
35.528942,12.575007
35.628743,10.622899
35.728543,9.200880
35.828343,8.117584
35.928144,7.263947
36.027944,6.573252
36.127745,6.002380
36.227545,5.522224
36.327345,5.112435
36.427146,4.758327
36.526946,4.449083
36.626747,4.176485
36.726547,3.934279
36.826347,3.717507
36.926148,3.522267
37.025948,3.345425
37.125749,3.184449
37.225549,3.037193
37.325349,2.901959
37.425150,2.777278
37.524950,2.661911
37.624750,2.554848
37.724551,2.455174
37.824351,2.362122
37.924152,2.275060
38.023952,2.193363
38.123752,2.116574
38.223553,2.044224
38.323353,1.975945
38.423154,1.911379
38.522954,1.850215
38.622754,1.792183
38.722555,1.737053
38.822355,1.684596
38.922156,1.634613
39.021956,1.586930
39.121756,1.541383
39.221557,1.497820
39.321357,1.456136
39.421158,1.416169
39.520958,1.377835
39.620758,1.341018
39.720559,1.305638
39.820359,1.271609
39.920160,1.238834
40.019960,1.207262
40.119760,1.176826
40.219561,1.147435
40.319361,1.119061
40.419162,1.091635
40.518962,1.065115
40.618762,1.039452
40.718563,1.014589
40.818363,0.990514
40.918164,0.967178
41.017964,0.944533
41.117764,0.922556
41.217565,0.901211
41.317365,0.880469
41.417166,0.860313
41.516966,0.840700
41.616766,0.821629
41.716567,0.803042
41.816367,0.784949
41.916168,0.767317
42.015968,0.750123
42.115768,0.733364
42.215569,0.717004
42.315369,0.701039
42.415170,0.685434
42.514970,0.670218
42.614770,0.655328
42.714571,0.640764
42.814371,0.626534
42.914172,0.612608
43.013972,0.598965
43.113772,0.585610
43.213573,0.572536
43.313373,0.559724
43.413174,0.547149
43.512974,0.534842
43.612774,0.522765
43.712575,0.510912
43.812375,0.499271
43.912176,0.487847
44.011976,0.476628
44.111776,0.465608
44.211577,0.454763
44.311377,0.444107
44.411178,0.433636
44.510978,0.423334
44.610778,0.413189
44.710579,0.403206
44.810379,0.393380
44.910180,0.383688
45.009980,0.374155
45.109780,0.364762
45.209581,0.355483
45.309381,0.346347
45.409182,0.337327
45.508982,0.328430
45.608782,0.319650
45.708583,0.310986
45.808383,0.302409
45.908184,0.293957
46.007984,0.285594
46.107784,0.277331
46.207585,0.269162
46.307385,0.261076
46.407186,0.253078
46.506986,0.245165
46.606786,0.237327
46.706587,0.229584
46.806387,0.221898
46.906188,0.214285
47.005988,0.206745
47.105788,0.199263
47.205589,0.191843
47.305389,0.184482
47.405190,0.177187
47.504990,0.169951
47.604790,0.162743
47.704591,0.155603
47.804391,0.148510
47.904192,0.141472
48.003992,0.134457
48.103792,0.127489
48.203593,0.120558
48.303393,0.113663
48.403194,0.106814
48.502994,0.099982
48.602794,0.093183
48.702595,0.086416
48.802395,0.079670
48.902196,0.072948
49.001996,0.066252
49.101796,0.059570
49.201597,0.052906
49.301397,0.046269
49.401198,0.039626
49.500998,0.033007
49.600798,0.026393
49.700599,0.019794
49.800399,0.013190
49.900200,0.006588
